reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOGMIjJBJUNNCzSpTbOgnJcmmHdpNzWJNXpPaFmk4GczkV9zE0LSwPS0bGzyHRZtgyIFWyt9xZw8VzzONw4,Gary Moreland,https://play-lh.googleusercontent.com/a-/AOh14Ghp_e6yKh4UIoLA3iD9U8vTnjUYePvE4H0fGXIqwLA,"First of all the design and structure of your app is of extremely poor integration with user functionality. That's just the tip of the iceberg though. There is a lot of misinformation in this app and there's no other way to say it. What is being used here is a theory with no proven scientific fact or foundation other than slight amounts here and there that don't prove anything specific, but appear to be what is used to give support to this misinformation as some how being valid. Bad app!",1,29,1.3,6/1/2021 16:42,,
gp:AOqpTOHXvf2elOk0qag5WwxqUJzqzA9jQtZDM80-mp-3emwLF5RVpTu1L0s-eHyX-I7j7bOhGQSTQVop678YpdM,Lesley Hoenig,https://play-lh.googleusercontent.com/a-/AOh14GiK6yHS5r3qENhYIjoh7_rq-0jptA8RorQq1eDD,"It hasn't checked for exposures in nearly a month. I changed battery optimization and no change. I don't like having bluetooth constantly enabled solely for this app so I don't see the point in keeping it. EDIT: YES, I know that bluetooth is required. Which is why I'm complaining about this app not working properly. I've had bluetooth on all the time all this time, and it hasn't even checked for exposures, which means, all that I've done in the past month is compromise the security of my phone for apparently no reason. If there is no benefit to using this app, I'm certainly not going to keep using it and keep bluetooth on.",1,49,1.3,4/5/2021 20:04,"Hi Lesley, Bluetooth is required for the app to work properly. Please visit the following link for details: https://www.michigan.gov/coronavirus/0,9753,7-406-99891_102592_102594---,00.html . We are continuing to research this and are working with Google to identify a solution to correct the issue.",4/5/2021 19:22
gp:AOqpTOG8G-R8H7TfTUtr2eL66bK-v6sK9wIa4ENV3x4_38w9CbnxzQ6PygC7UfHTFEgEHvnCTIpgDmJ6TdaD2Dc,Michelle Thorndyke,https://play-lh.googleusercontent.com/a-/AOh14Gi8OZzlbjJ01d0UI2S1pTX5JZ-Kq3DkVK5X47fzSb8,"I have deleted and reinstalled the app several times. I had it set to run in the background, to never sleep, and it still won't update the last time it checked for exposure; it's been weeks. Instead of blaming everyone's problems on their phones or settings, how about taking ownership and just fixing the app? You know multiple people with different phones have the same issues...FIX IT.",1,43,1.3,5/15/2021 17:40,"Hi Michelle, we understand how annoying that must be. We're working with Google to identify a solution. We hope you'll give the app another try once we fix the issue. Again we are sorry for the inconvenience.",5/18/2021 18:28
gp:AOqpTOFj3mqONuqhWX6ZccYNeOlLLBubxUXmQTxqgKd6eJLF6thlcphTu219WGbSWkSEYtSUYGAUu09K3rbdBS0,Tyler Hyliard,https://play-lh.googleusercontent.com/a/AATXAJw3OfSQtEHwpyEm8ZFk6d5OCOdmcleszcl3WWYK=mo,"App is so-so. For some reason it stopped checking data back in February (three months ago) without notifying me. Going to uninstall and reinstall to reset it. Regardless, it should notify every few days if the last check exceeds two weeks.",3,4,1.3,5/21/2021 21:56,"Hi Tyler, sorry to hear the experience you've had. Some of our other Motorola users have had success updating battery settings at https://dontkillmyapp.com/ for their device. If you continue to experience issues after making these changes, please reach out to our support team by email mdhhs-micovidalert@michigan.gov and we can assist further.",5/24/2021 17:49
gp:AOqpTOFkQTqKJeSrP-KmzLNXSa0WNSU7xObvKnF1y2iLZPVmrmZyL82Wij6NcKpO-b8uH-Y2o0KPSxmxlAeqBCY,Dale Boehm,https://play-lh.googleusercontent.com/a/AATXAJxkguyI8TfdantSxllmPaEdTa-yEIy6-U3vCuXW=mo,Works for a few days then stops. It says it's on but no readings for two weeks. Reloaded twice. Still don't work right. Reloaded as you said to. Still no readings since the 23rd. Installed and Uninstaller 6 times. Still not working right. Last exposure check was on the 13th. The app is an excellent idea just wish it would work. Had reinstalled a 7th time. Last notification was April 1st. It is now the 9th. Unistalling permanently. Sorry. Nice try.,1,29,1.3,4/9/2021 15:19,"Hi Dale, we understand how frustrating this issue is. Our understanding is that the device’s battery management software is cancelling background tasks created by the exposure notification system. We are continuing to research this and are working with Google to identify a solution.",3/22/2021 14:55
gp:AOqpTOGPnCpM7YuxwOdRr24Uq4TaNS-PSh2WRXRjRovQy3Yvt3aa0eEmjqI2NGwrysi3TGdePXVviHEpiUxgDV8,John Ward,https://play-lh.googleusercontent.com/a/AATXAJxSQ2its0ndR_cEEkG3JcBf-2IOMo4cnv9OSew6=mo,"Update: App was working fine until April 4th. It is April 17th today and I haven't had any exposure check since the 4th. I changed my settings so the app doesn't get turned off due to battery usage, but that did nothing. Why do the other states have an app that works but not Michigan? I work in a grocery store and this would be so helpful if it worked, but instead it's a big pile of steamy turd.",1,62,1.3,4/17/2021 12:30,"Hi John, have you tried deleting the app and reinstalling it. This has worked for most users. I see you are on Android version 8.1, are you able to install the latest version (9) on your phone? If you continue to experience issues after these steps, please reach out to our support team at mdhhs-micovidalert@michigan.gov.",4/19/2021 18:46
gp:AOqpTOF7xwYEwJAzolPUJ9nG_abBAMSmwhSWVUHL5NcGt6N6Zler2bcxzmGsFSH5Byx-Fs3KUx46-2tLSrRms-A,Jay Stiles,https://play-lh.googleusercontent.com/a-/AOh14GhX78ZrTMjfWLG8smCiq78h1pDDU311Psms6G63DA,"It stopped checking back in February. Uninstalled and reinstalled, but it doesn't say it stopped checking unless you go into the app every day and see the last time it did run a check. Also does not inform you if you have been exposed after it stops checking. Reinstall starts it fresh with no history data. Yes bluetooth is on, so don't ask.",1,24,1.3,4/27/2021 15:53,"Hi Jay, please update your settings at https://dontkillmyapp.com/ to prevent the MI COVID Alert app from being put to sleep to conserve battery. Are you able to update your OS to Android 11? If you continue to experience issues after these steps, please reach out to our support team at mdhhs-micovidalert@michigan.gov and we can assist you further.",4/27/2021 18:50
gp:AOqpTOFsoVFAjm5FvL29NfnmaoCvT44owDlO2YG-UM5-c3jh06u-m07FsRMsCTef1ZXm5Ah6VX9KMK4oN20dRoU,billie zinke,https://play-lh.googleusercontent.com/a-/AOh14GhdNjscDG-2XhJX8RsHAbJ-uO2YZaiNbPZjIMTi,*** Update *** So I uninstalled this for a while. Finally heard they improved the app and reinstalled. It worked for a week or two. But now it again hasn't checked since April 6th. Today is the 14th. My app is up to date. Which is sad since Michigan currently has the highest infection rate in the nation. I'm fully vaccinated now. I'll continue to wear my mask and socially distance. I'll also have more room in my phone because I'm deleting it again. For good.,1,14,1.3,4/14/2021 22:06,"Hi Billie, sorry to hear that. Your Pixel device’s battery management software may be cancelling background tasks created by the exposure notification system. We are continuing to research & work w/ Google to identify a solution. Please update settings at https://dontkillmyapp.com/samsung. Email us mdhhs-micovidalert@michigan.gov if you need help.",4/15/2021 16:20
gp:AOqpTOG-bMuValL0YpN67F41eMCr3Q2vb0zLKfgx6GaFIyB1J5oSjuHj8oFIPwD39UdlFCQIFNI4b4jhwHYzRX4,Nathan R,https://play-lh.googleusercontent.com/a-/AOh14GgLAIRt5kT4fl3kUdqdn1C2tM4QEnICY94Rq1Kq5Q,"I tested positive for COVID-19. I wanted to share it in the app so I could alert others. When you test positive, the DoH gives you a PIN that you then enter into the app to verify your positive test result, which should broadcast it on the app. But here's the major problem: it didn't recognize the TWO PINs they sent me. I tried phoning someone, but had no idea who to contact. I was desperate to get the word out, because I work in a busy location. Nothing worked. I tried the codes again and again, but the app kept rejecting them, saying that it wasn't a valid code. I called the admin office-- I think???-- of the local health department, because I had no idea who else to contact to help me. All I did was call the number the app gave me. No responses from anyone. I'm starting to think this is happening with other positive testers as well, and that's why exposures aren't properly updated. Because of this, this app is LITERALLY. POINTLESS. Please do something about this. I tried to inform as many people as possible, but I can't reach out to everyone.",2,17,1.3,4/18/2021 13:45,"Hi Nathan, truly sorry to hear about this experience. Can you email your specific local health department info, date of when this happened, etc., to our team at mdhhs-micovidalert@michigan.gov so we can investigate this further. There was an issue over the weekend causing PINs to fail. You should be able to enter the most recent PIN.",4/19/2021 19:11
gp:AOqpTOFVz1evRKvbOiTdA9tFaWY7L2ZoAvablMsbJqxNnhgRRi4cHq_ZRV5QJxCQEGuN8zwMV22JiSNbiH_RGXc,Jack Friese,https://play-lh.googleusercontent.com/a-/AOh14GiaQEXdtJrxDpKqZV1i2XW5b3yWJbAfcQpptiGZTw,"Updated review: The app still stops functioning if I dont check it for a day. Also, it looks like people are unwilling to or unable to notify through the app. I've had 2 coworkers in the past 2 weeks test positive and I've heard nothing through this app. Completely useless.",1,11,1.3,4/30/2021 15:04,"Hi Jack, the app requires a unique PIN in order to report a positive case in the MI COVID Alert app. To get your PIN, call your local health department first or the MI COVID-19 hotline by dialing 2-1-1 or 888-535-6136. Please reach out to our customer support team at mdhhs-micovidalert@michigan.gov if you need additional assistance.",4/30/2021 18:52
