reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOHHmR8Koegx-K59Y3pOjvQRAfo9Ncz6Oagt-pVH7x7FVX84gIU-A9aYO8ax4j1_YeKgWq56bNnqSW4wWTc,Get To The Point Already,https://play-lh.googleusercontent.com/a-/AOh14GiNepeFFfnOCpNIjopR5CS-MMDj-Hws8GEs-Q5cnA,"App is a peice of trash. Trying to sign up and use it is a pain in the butt. It shouldn't be this complicated to use an app that essentially only needs to notify you of other users around you. Many apps have this function. Hell, even dating apps notify you if a match is nearby. The devs need to learn how the hell to code an app before trying to capitalize on everyone's fear with this useless junk during a pandemic.",1,56,1.6,4/19/2021 13:13,,
gp:AOqpTOHkfHkWjCe2ZRHgpW8jC1uA-68LZ_FkZUK0IWE5VvYGo9bclC6DCMaB8qkKi2e5xAjv2p7ypgHDFnbWfeQ,Denis Anderson,https://play-lh.googleusercontent.com/a-/AOh14Ggw4YkoHHCGkp79tLeXkVOL78jVKqS7sYgi8uzEWw,"The app is not working, it has not checked for exposure since January 9th. I keep seeing where they are telling people to go to Device Care > Battery ..... That does not exist on my phone, they must be giving instructions for an iPhone. ********* Update still is showing January 9th as my last exposure check. This app has not worked since then. I guess that I may as well uninstall.",1,82,1.6,3/25/2021 20:14,"Hi, Denis! We have worked with Google to address this issue and just released a new version of the app. Please update to the latest version of the app on the Play Store and make sure the exposure notifications are enabled. Also, you can find Device Care under Settings. Thank you for your feedback!",2/26/2021 14:00
gp:AOqpTOEnqX7pBjju5elh90ObBukAlvClTDjWdoiNeC4xAGKSr5KDohDGhVZMEI3KJawdBluZc0aGcYF-DkFRkgg,C. W. Slack,https://play-lh.googleusercontent.com/a-/AOh14GhbqxaM8wydDge7ZCbxiR-T7LSRpwUHsJylSKKNRg,"When I found myself getting less than 99 Push Notifications an hour to my cellphone, this app came in and saved the day by getting those useless push notifications up enough to display (99+) notifications. Since my sense of self worth is directly tied to the number of notifications I receive per hour, it immediately became an invaluable tool for increasing tMood, we ent ckkhat number by 1. It may actually have had another function, but whatever that function was- IT matters less than a of a hor",1,11,1.6,6/4/2021 4:38,,
gp:AOqpTOHw5UR5hr3TVc2JPh0e80eI0g2MH8erlbIiu2x0JcUlepfg-6m4t0vXyC6Jy8Yk4d7K26sg5Ou2AfN8TQE,Laura Beth Young,https://play-lh.googleusercontent.com/a/AATXAJyn1w9j49XyDR2WaqABVQpwK-kURQb77vhb-Ijw=mo,"Disappointed. Not Effective. I've had this for a while; encouraged ppl to download it. Up until yesterday, it worked well - seemingly. It checked for exposures several times a day for the past two months or so. Last week, someone in my pod tested positive. It took her several days to put in a PIN. I've not been alerted yet (but I have isolated since her exposure and then positive test). This program has got to be faster to be effective. It's giving ppl a false of security.",1,95,1.4,1/13/2021 18:20,"To escalate this issue, please email us at NCHealthIT@dhhs.nc.gov & send a screenshot of your phone with the app open showing the Exposure screen. The app should provide you with an exposure notification if you both had the app installed prior to your colleague testing positive for COVID-19 & the phones were spaced 6ft or less for 15 mins. Thanks!",1/14/2021 14:28
gp:AOqpTOFdKwcRIYdm_r-HTM0ZevklexGT5jNfz9fEWn5Y_zbcuRdsNHvG_eXaEV_BLPKGC2f8iYMn1WPYX-DXzrU,Bob K,https://play-lh.googleusercontent.com/a/AATXAJxz4mEL4skdqo028z9oYdJy650CSYOHd2ZogVVJ=mo,"This was a good idea with a big flaw. Getting a pin is not straight forward. Someone sick with Covid will not take the time to bother getting a pin. It should have been done like this... Sign up with the app with your cell phone number, you get Covid and the county health department should notify DHHS to send the exposure. This would have been easy to do using the cell phone number of the infected person. My wife had Covid and this app. She thought it updated using health department records.",1,119,1.4,1/8/2021 23:48,"Hi, Bob! In order to protect user privacy and ensure no one can report a non-confirmed positive COVID-19 case, we developed the PIN process. NC has an online portal which allows you to get your PIN if you used your email or cell phone number when registering for the COVID-19 test: ncdhhs-covid19-dtra-uat.powerappsportals.us/en-US/slowcovidncpin/",1/11/2021 14:50
gp:AOqpTOHxNElijFhOeOBhPDAcxmhIVIGmHYPymrJAf0WzK8XvuEpfin9Qy0QMLNmTC_QFrKxq26FEPQLSQ6_-Dsc,Kalia Fitzgerald,https://play-lh.googleusercontent.com/a-/AOh14Ghy-LCVBQXYMP34a2o0q0sgJpaGzEcPvVSLTooOyQ,"Not effective. I downloaded the app 2 months before I was exposed. Didn't get any notifications. Everyone around me has the app. Once I tested positive it was a 10 day ordeal just to get a pin. I agree with others that there needs to be a better way for the pin to be given but not by tracking phone numbers. Maybe everyone gets a special code when they're tested that they can put into the app and their results will automatically update once they come in. Less hassle, more secure.",1,61,1.6,1/26/2021 5:53,"As testing has surged, many of the test providers are having delays in the data entry process. The PIN is generated immediately upon the lab report being received by the NCDHHS system. We are working with our partners to improve the process. If you continue having issues, please call our dedicated help line at 844-628-7223. Thanks for your support!",1/26/2021 16:24
gp:AOqpTOGutWxRWaYbgmg_L8k1dTYJgeKCMKo9ICjlowCR3Ic-RNRtHdmUdSjnlZnEWl1WSp57H_H7raNpJr_6248,Laura Berry,https://play-lh.googleusercontent.com/a-/AOh14Gjq2GxgRdQe2CyAg20on76l-cqN2Hu9i-R-fldbYA,"While I love the idea powering this app actually acquiring a pin takes so long that the app becomes useless. I finally received my positive test result four days after showing symptoms and when I called in to get my pin, I was told that I would have to wait a few days and call in again. By the time I actually get my pin the incubation period for the people I may have had contact with will be over and they'll probably have symptoms before they even get any notice from the app.",2,113,1.3,12/30/2020 16:23,,
gp:AOqpTOE6gq5LxUNtg6LPfY2Hq7Gp34nAaQytBpfOLGfNsEqC4ZgTTt93_aLJDVA0AL5TTWmZkv4W2IL8x0VHcpQ,David H,https://play-lh.googleusercontent.com/a-/AOh14GjxmpPxhqzAe9cMrEqRSRz9d_lQw52bTt3RBjwotGw,"An absolutely useless app. I tested positive for covid nearly a week ago but have yet to be able to get my PIN. Every time I call in they tell me it's going to be a few days. If you look at the reviews this seems to be the case, that they won't provide you the pin until weeks afterwards. So all in all, this app serves no purpose. What an absolute waste of taxpayer money.",1,32,1.3,1/8/2021 19:33,"Hi David! There is an online portal to obtain your PIN. If this does not work, we have set up a call center to assist: 844-628-7223. If you are still unable to obtain your PIN and you'd be willing to share more information with us, please email us at NCHealthIT@dhhs.nc.gov so we can further troubleshoot your issue. Thanks again for your feedback!",1/11/2021 14:54
gp:AOqpTOFR2Cv4dIwx_Pat3xLOdjxhY4u8777NPb2CM_kYPoefaLyMM88ghL1hRDt_yE9dH9L361avSTU6gt7lRZs,Tommy Hill,https://play-lh.googleusercontent.com/a/AATXAJzXNSuilS0vtI8lDG2ONSny3UGGI79u3Lw_oOIp=mo,"There aren't enough people using this app for it to be really effective. Also, it doesn't check for exposures very often. A serious flaw in my eyes! It should be checking at least every 15 mins (refreshing) at the very least. It does not allow for exposure time check to be altered in Google. It was a good concept, bad design.",1,111,1.3,12/22/2020 22:55,,
gp:AOqpTOFVwTILCT0smiiKJ39dY9_Gcckb9VEOfR_HItzklOhe4ItbDphQ9xgngBCsRe1kJEtIuQB4i8ont2HqyVE,Morgan W,https://play-lh.googleusercontent.com/a-/AOh14GjWzn55YERj-wQlsoxkYkNqyvczHvBauPYnnoPg,"It's taking weeks to obtain a confirmation pin to share results which defeats the purpose of this whole thing. By the time people get their pins it's been over a week or longer in some cases, which at that point is too late. It's pointless to alert people if it's not immediate. Deleting the app because I'm not ok with tracking me for no purpose.",1,30,1.3,1/8/2021 1:28,,
gp:AOqpTOGhLXHIxk5SBrD234JVnS_x3-IfB-AMyJeeiIpIXEqvqIBE6HhLX0xLeHqJ6MM2PhZB3mXico9sQti4c0Q,Erin Peterson,https://play-lh.googleusercontent.com/a-/AOh14GhRRK-3tqTq6ZAcWlZkA2rPeivAl3MBTSbzDJ6P,"The idea of this app is great, but because of the way it's run it becomes useless. I have had the app for 2-3 months. I tested positive on Dec 29th, so I called to get the required number to alert the app. I was told that I would have to wait 48 hours, I called back and was told that I needed to call my health department and then call back the next day, I called back the next day and was told that my number was 'too new to use try again in 48 hours'. What's the point of using it now?",2,17,1.3,1/9/2021 20:11,"Hi Erin! There is an online portal to obtain your PIN. If this does not work, we have set up a call center to assist: 844-628-7223. If you are still unable to obtain your PIN and you'd be willing to share more information with us, please email us at NCHealthIT@dhhs.nc.gov so we can further troubleshoot your issue. Thanks again for your feedback!",1/11/2021 14:54
gp:AOqpTOHRP-dxT78VWao7qZWKggp2ruZJiwCaj6Y62vyxko4xTsxFxsG9fZMEcgZVH-ef51_QIXZTlzFEcho151E,Aneisha Diagne,https://play-lh.googleusercontent.com/a-/AOh14GgOugw2qSkw7Ibn7ZlyT6lKEH-avTFenFwEGxa-,I don't like the set up. It should be automatically updated when someone test positive by the providers or health department that report the COVID cases. I was living with someone with the virus and noticed my phone never went off to alert me. After reading you as the COVID patient have to up the app yourself. This will probably never happen who has time for that. Which makes this app useless.,1,24,1.4,1/19/2021 23:06,,
gp:AOqpTOG6Y2_v2w8QVdY090X3HS5Q_uMaNHjm9YWd09PVdmhcdf63vUu4G_GItkE_R83oTk_gaqug3C4QJUpvC7g,Hyco Syco,https://play-lh.googleusercontent.com/a/AATXAJzeMRl5YJa5XRklbX5dtvLfWVZtAXcEkFh8W0o=mo,"This app, as the developers admit is useless. False sense of security. Because it is impossible to timely report covid--what is the use? Our entire household now has Covid. No one can report to this app. Since no one can report being sick, you will never be notified of exposure. Got back a positive test result. Tried to tell the app that I tested positive. Unfortunately it wants me to jump through hoops to get a pin to report a covert positive test. It will not give me a pin.",1,96,1.6,2/26/2021 20:05,"As testing has surged, many of the test providers are having delays in the data entry process. The PIN is generated immediately upon the lab report being received by the NCDHHS system. We are working with our partners to improve the process. If you continue having issues, please call our dedicated help line at 844-628-7223. Thanks for your support!",2/26/2021 13:05
