reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOFOoTygHYVMdy5o5y6FiScU3GvhO_vi1iPNCbw7KmIiWGtPa0XWnvL5Wh0N7N8WswxdFvO1yKJW0ogz,Sonya Blades,https://play-lh.googleusercontent.com/a-/AOh14Gg0rfg1DMrcxvvLsz2ovM0nW3w2SSpoo-Ze3FK4fQ,"First time, didn't work, uninstalled. Second time, kept asking for some code, so I couldn't update the app that I had tested positive. 🤷🏻‍♀️ I was doing it more to alert others around me, but it's pointless now that I've been up and running again for about a month, I just always forget to leave this review before deleting for a second time. Waste of time, waste of storage, utterly useless. Would be great if it did what it claims. Until then, I'd give it 0 stars if possible.",1,11,minted160017,5/1/2021 7:18,,
gp:AOqpTOGOiyGHsRq_ekitO8k8B5lRMG5Tl4AasJGc33Afm6Y6DrGzKbWXSGYp3MQpYHaIH-oH7urenlPxx-zE,David Hobbs,https://play-lh.googleusercontent.com/a/AATXAJwzq1bEk-7VCfhBNF0NDxxphGUzJcDTelJRZQIV=mo,"This app is entirely optional and anonymous, as it should be. As others have noted, though, it's only useful if enough people opt in. This is about 'we,' not 'me.' I'm not a front-line worker but I regularly travel all over Wisconsin supporting essential functions including medical research and the production of foods and hand sanitizer. I take this and other precautions not out of fear for my own health or that of my immediate family, but to try to protect the greater community. Please join me.",5,187,minted141003,12/24/2020 10:25,"Thank you for the review, and for using WI Exposure Notification. Together, we can stop the spread of COVID-19 in Wisconsin.",1/17/2021 20:45
gp:AOqpTOHrNUfDTYEj4x_OqfUnwyXjOUJDY6PsgFwQ6aqeSKdmlq3O58cBWNl686ud48OlHQ5lLps6S89qtYbg,IsaacClarkeSNL,https://play-lh.googleusercontent.com/a/AATXAJzNbWsQ4fdZTzWbNJ5tvUCmURBpXg4Ua_2QriyNQw=mo,"This is the officially released app you the state of Wisconsin. I was initially uncomfortable with the idea of using this app due to privacy and data collection concerns, but after thoroughly reading the short and straightforward privacy policy I was put at ease of these risks. It seems it does not track your location, just your proximity to other devices.",4,189,minted141003,12/23/2020 19:56,"Thank you for the review, and for using WI Exposure Notification. Together, we can stop the spread of COVID-19 in Wisconsin.",1/17/2021 20:49
gp:AOqpTOFNPnILcrFQlS-rrl2EJW37VNex-qdyHdE35gk2RpURuHoYlZBLBit-wKAiGhUj5S_stIl0H1zzG2kB,Rebecca Cantrell,https://play-lh.googleusercontent.com/a-/AOh14GiW-64UUVssUeZ5W3_-K42efoNxb87FC6T-xxnwYg,"So simple, doesn't drain your battery like some say. The more people who get this the more chances it has of doing what it's supposed to... Not getting a notification is the goal and a good thing. Zero exposures so far and I hope it stays that way.",5,33,minted151008,3/8/2021 20:03,"Thank you for the review, and for using WI Exposure Notification. Together, we can stop the spread of COVID-19 in Wisconsin.
",3/16/2021 16:54
gp:AOqpTOGRY5u9db6NFHkP6b-DK1L_X2_x4wmuDbbebbfOMNrfbV_s3shhnnvqUQglrCyxkw5r0QplCRBLZ2iH,Odysseas,https://play-lh.googleusercontent.com/a-/AOh14Gh2CEC2eWnTsnHa2JFXu3weTHR8uawN5P6qMnwZnu4,"Thank you guys for making this. The app is very lightweight. You do need to have your Bluetooth on. It does not track your location, only your proximity to other people that have the app, so it can notify you if you've been near someone with covid.",5,32,minted141003,12/25/2020 8:25,"Thank you for the review, and for using WI Exposure Notification. Together, we can stop the spread of COVID-19 in Wisconsin.",1/17/2021 20:46
gp:AOqpTOEfF79MuEUyDqunQnRXfCFSfP0b7_vQXgo4k6MBs6DT7I_iS-e-PqoTxUf2K-dDWv5ZievW9t5l6mKs,J,https://play-lh.googleusercontent.com/a-/AOh14Giy0NwImgZBZac9UqxJc-ngNVzm2dCqgTW9IRlQbA,"This app developed by Google is totally useless, a waste of tax payer money, and just another way for Google to track your every move from where you've been to when you took your last dump. I've had this app since the first day it became available in Wisconsin, traveled throughout the state several times and not once have I received a notification? With the high case numbers in WI, I find this very hard to believe. Better to wear your mask, stay safe and don't waste your time with this spyware.",1,32,minted141008,1/14/2021 22:05,,
gp:AOqpTOGS7i930P9k6y7DH8y-sO_WMoCtdD1YwSWMQiqu3ACjJWhX5cJpmeN5duw_YDYHhaqRZptK7vLiTt-0,Karin Franklin,https://play-lh.googleusercontent.com/a/AATXAJzJvMKrD657FNsd2miuiFZOhXCUc0reUBXJmuHS=mo,"The app reminds me when I have Bluetooth turned off and otherwise operates entirely in the background. There doesn't appear to be any impact on battery life. The more people who download it, the more useful it becomes. I've done my part.",5,28,minted150003,2/25/2021 22:58,"Thank you for the review, and for using WI Exposure Notification. Together, we can stop the spread of COVID-19 in Wisconsin.
",3/16/2021 16:55
gp:AOqpTOFjdrhxFS1SicNX5zoiBao53QB3O5cDgC7P9VDpE55b9B0JpBRnfA4vBnZA8ym_9DSamu_uhhv7K42o,Jim Schultz,https://play-lh.googleusercontent.com/a-/AOh14GjXgHpqQkOvjTgnm-eNz7S0fCtMgUey8QReazSM4Q,"Just downloaded the app. I appreciate it's simplicity. I'm sure there will be plenty of folks that will be upset with the state. I hope they will give this & the vaccines a chance. There will always be the option to not do either and that will be their choice. I'm just hoping that this doesn't turn into an opportunity for more senseless squabbling. I may not agree with your opinion, but I will always fight for the right for you to have your own opinion!",5,130,minted141003,12/23/2020 18:14,"Thank you for the review, and for using WI Exposure Notification. Together, we can stop the spread of COVID-19 in Wisconsin.",1/17/2021 20:45
gp:AOqpTOEPGbwkvzmk0o4N13pVv6t77tuUV_ERQhJrL2OY0_eVQEJQWn1DFx0ok_kYBf0Srm9WcwOnvphYb9c8,John Mihalko,https://play-lh.googleusercontent.com/a-/AOh14GieUNRcR2UugEpqz1a_nEiUxyXJlxcqfopmgAq4dRo,"Wonderful app. Since installing the app I have not had the covid. I had concerns about my privacy but since I always wear my medically approved covid mask those concerns vanished since they can't see my whole face. I am also constantly using hand sanitizer and washing my hands so they can't track my DNA. Wonderful app, everyone should install and take the privacy precautions I do 😷 🧴🧼",5,14,minted141008,1/10/2021 6:01,"Thank you for the review, and for using WI Exposure Notification. Together, we can stop the spread of COVID-19 in Wisconsin.",1/17/2021 20:48
gp:AOqpTOGmRTAJTfsNrI68WTltkHw4l4bY1OZOmSECMpW1xh6hcLD0YsbxQvfWxz_e4rQbUA_OTJd7tzjeqkjI,Annette Anderson,https://play-lh.googleusercontent.com/a/AATXAJwjQj5VZRSDSff6o0NvAlI4jtyocUAi9c-u3-dy=mo,"The app itself is probably fine the problem I have with it is that I live in a boarder area, WI MN and I cant use both the WI and MN apps at the same time. I work retail and so my exposure risk is very high. I'm disappointed I have to choose which app to use.",1,53,minted141003,12/25/2020 20:18,"It is up to each state to select the Exposure Notification App to use. The WI Exposure Notification app will also work in Minnesota. However, if you test positive for COVID-19, you should use the app for the state you were tested in to share your results.
",1/17/2021 20:19
